url,released_on,name,score,aired_on,kind,episodes,image,episodes_aired,russian,id,status
/animes/10360-kinniku-banzuke-kongou-kun-no-daibouken,2001-08-30,Kinniku Banzuke: Kongou-kun no Daibouken!,4.96,2001-07-30,tv,3,"{'original': '/system/animes/original/10360.jpg?1701420758', 'preview': '/system/animes/preview/10360.jpg?1701420758', 'x96': '/system/animes/x96/10360.jpg?1701420758', 'x48': '/system/animes/x48/10360.jpg?1701420758'}",0,Большое приключение Конго!,10360,released
/animes/1037-saint-beast-seijuu-kourin-hen,2003-06-13,Saint Beast: Seijuu Kourin-hen,5.96,2003-05-08,tv,6,"{'original': '/system/animes/original/1037.jpg?1701437219', 'preview': '/system/animes/preview/1037.jpg?1701437219', 'x96': '/system/animes/x96/1037.jpg?1701437219', 'x48': '/system/animes/x48/1037.jpg?1701437219'}",0,Священные звери,1037,released
/animes/10370-metal-fight-beyblade-4d,2012-04-01,Metal Fight Beyblade 4D,7.01,2011-04-03,tv,52,"{'original': '/system/animes/original/10370.jpg?1701426734', 'preview': '/system/animes/preview/10370.jpg?1701426734', 'x96': '/system/animes/x96/10370.jpg?1701426734', 'x48': '/system/animes/x48/10370.jpg?1701426734'}",0,Бейблэйд: Горячий металл 4D,10370,released
/animes/10379-natsume-yuujinchou-san,2011-09-27,Natsume Yuujinchou San,8.57,2011-07-05,tv,13,"{'original': '/system/animes/original/10379.jpg?1701428859', 'preview': '/system/animes/preview/10379.jpg?1701428859', 'x96': '/system/animes/x96/10379.jpg?1701428859', 'x48': '/system/animes/x48/10379.jpg?1701428859'}",13,Тетрадь дружбы Нацумэ 3,10379,released
/animes/10396-ben-to,2011-12-25,Ben-To,7.2,2011-10-09,tv,12,"{'original': '/system/animes/original/10396.jpg?1701400352', 'preview': '/system/animes/preview/10396.jpg?1701400352', 'x96': '/system/animes/x96/10396.jpg?1701400352', 'x48': '/system/animes/x48/10396.jpg?1701400352'}",12,Бэнто,10396,released
/animes/104-ayashi-no-ceres,2000-09-28,Ayashi no Ceres,7.18,2000-04-20,tv,24,"{'original': '/system/animes/original/104.jpg?1701398931', 'preview': '/system/animes/preview/104.jpg?1701398931', 'x96': '/system/animes/x96/104.jpg?1701398931', 'x48': '/system/animes/x48/104.jpg?1701398931'}",0,Подозрительная Церера,104,released
/animes/1040-mizuiro-jidai,1997-02-27,Mizuiro Jidai,7.23,1996-04-04,tv,47,"{'original': '/system/animes/original/1040.jpg?1701427401', 'preview': '/system/animes/preview/1040.jpg?1701427401', 'x96': '/system/animes/x96/1040.jpg?1701427401', 'x48': '/system/animes/x48/1040.jpg?1701427401'}",0,Молодо-зелено,1040,released
/animes/10444-digimon-xros-wars-aku-no-death-general-to-nanatsu-no-oukoku,2011-09-25,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.09,2011-04-03,tv,24,"{'original': '/system/animes/original/10444.jpg?1701405922', 'preview': '/system/animes/preview/10444.jpg?1701405922', 'x96': '/system/animes/x96/10444.jpg?1701405922', 'x48': '/system/animes/x48/10444.jpg?1701405922'}",24,Перекрёстные войны Дигимонов 2,10444,released
/animes/10447-aquarion-evol,2012-06-25,Aquarion Evol,7.08,2012-01-09,tv,26,"{'original': '/system/animes/original/10447.jpg?1701398196', 'preview': '/system/animes/preview/10447.jpg?1701398196', 'x96': '/system/animes/x96/10447.jpg?1701398196', 'x48': '/system/animes/x48/10447.jpg?1701398196'}",26,Акварион: Эвол,10447,released
/animes/10456-kyoukaisenjou-no-horizon,2011-12-25,Kyoukaisenjou no Horizon,7.03,2011-10-02,tv,13,"{'original': '/system/animes/original/10456.jpg?1701422608', 'preview': '/system/animes/preview/10456.jpg?1701422608', 'x96': '/system/animes/x96/10456.jpg?1701422608', 'x48': '/system/animes/x48/10456.jpg?1701422608'}",13,Горизонт среди пустоты,10456,released
/animes/10459-puu-neko,2011-06-22,Puu-Neko,5.74,2011-04-13,tv,11,"{'original': '/system/animes/original/10459.jpg?1701435151', 'preview': '/system/animes/preview/10459.jpg?1701435151', 'x96': '/system/animes/x96/10459.jpg?1701435151', 'x48': '/system/animes/x48/10459.jpg?1701435151'}",0,Безработные котики,10459,released
/animes/10460-kimi-to-boku,2011-12-27,Kimi to Boku.,7.66,2011-10-04,tv,13,"{'original': '/system/animes/original/10460.jpg?1701420529', 'preview': '/system/animes/preview/10460.jpg?1701420529', 'x96': '/system/animes/x96/10460.jpg?1701420529', 'x48': '/system/animes/x48/10460.jpg?1701420529'}",13,Ты и я,10460,released
/animes/10465-manyuu-hikenchou,2011-09-26,Manyuu Hikenchou,6.19,2011-07-11,tv,12,"{'original': '/system/animes/original/10465.jpg?1701425612', 'preview': '/system/animes/preview/10465.jpg?1701425612', 'x96': '/system/animes/x96/10465.jpg?1701425612', 'x48': '/system/animes/x48/10465.jpg?1701425612'}",11,Клинок Маню,10465,released
/animes/1048-the-soultaker-tamashii-gari,2001-07-04,The SoulTaker: Tamashii-gari,6.33,2001-04-04,tv,13,"{'original': '/system/animes/original/1048.jpg?1701444744', 'preview': '/system/animes/preview/1048.jpg?1701444744', 'x96': '/system/animes/x96/1048.jpg?1701444744', 'x48': '/system/animes/x48/1048.jpg?1701444744'}",0,Похититель душ,1048,released
/animes/10490-blood-c,2011-09-30,Blood-C,6.53,2011-07-08,tv,12,"{'original': '/system/animes/original/10490.jpg?1701400910', 'preview': '/system/animes/preview/10490.jpg?1701400910', 'x96': '/system/animes/x96/10490.jpg?1701400910', 'x48': '/system/animes/x48/10490.jpg?1701400910'}",12,Кровь-C,10490,released
/animes/105-boys-be,2000-07-04,Boys Be...,6.4,2000-04-11,tv,13,"{'original': '/system/animes/original/105.jpg?1701401353', 'preview': '/system/animes/preview/105.jpg?1701401353', 'x96': '/system/animes/x96/105.jpg?1701401353', 'x48': '/system/animes/x48/105.jpg?1701401353'}",0,Мальчишки есть мальчишки,105,released
/animes/1050-bobobo-bo-bo-bobo,2005-10-15,Bobobo-bo Bo-bobo,7.49,2003-11-08,tv,76,"{'original': '/system/animes/original/1050.jpg?1701400945', 'preview': '/system/animes/preview/1050.jpg?1701400945', 'x96': '/system/animes/x96/1050.jpg?1701400945', 'x48': '/system/animes/x48/1050.jpg?1701400945'}",0,Бобобо-бо Бо-бобо,1050,released
/animes/10506-shiawase-haitatsu-taneko,,Shiawase Haitatsu Taneko,0.0,2011-03-26,tv,0,"{'original': '/system/animes/original/10506.jpg?1709293563', 'preview': '/system/animes/preview/10506.jpg?1709293563', 'x96': '/system/animes/x96/10506.jpg?1709293563', 'x48': '/system/animes/x48/10506.jpg?1709293563'}",0,Танэко,10506,ongoing
